381,0,university of luxembourg,LU,Luxembourg,M,CO,VH,0,9,601+,5,601+,77,152,29,447,100,14,100,24,18,557,26,323,0,0,29
254,304,university of macau,MO,Macau SAR,M,FO,VH,A,11,601+,14,575,12,701+,97,43,100,18,99,49,11,646,42,177,4,701+,39
33,25,university of michigan-ann arbor,US,United States,XL,FC,VH,A,98,22,90,48,82,127,56,231,67,292,28,445,95,48,94,29,84,126=,82
117,101,university of oslo,NO,Norway,L,FC,VH,A,56,139,11,601+,82,132,64,183,86,202,25,472,96,43,42,173,92,80=,57
3,4,university of oxford,UK,United Kingdom,L,FC,VH,A,100,2,100,5,100,8,91,73,98,110,98,60,100,1,100,3,98,26=,99
12,13,university of pennsylvania,US,United States,L,FC,VH,B,96,29,89,52,100,24,68,153,96,140,70,208,83,129,100,5,100,3=,89
253,274,university of porto,PT,Portugal,XL,FC,VH,A,40,214,23,414,11,701+,58,219,7,701+,19,564,94,60,18,473,77,167=,39
116,134,university of southern california,US,United States,XL,FC,VH,B,53,150,48,183,22,634,68,157,32,474,74,191,63,228,93,32,99,15,57
244,305,university of surrey,UK,United Kingdom,L,CO,VH,A,20,428,23,409,23,613,56,230,97,129,88,127,71,192,17,503,58,259=,40
90,137,university of technology sydney,AU,Australia,L,CO,VH,A,43,195,58,143,9,701+,95,52,97,132,94,95,80,146,30,260,93,72,62
58,72,university of texas at austin,US,United States,XL,FC,VH,A,94,35,83,65,9,701+,87,85,9,701+,11,691,79,147,70,73,78,163=,72
250,331,university of waikato,NZ,New Zealand,M,CO,VH,A,18,484,13,601+,11,701+,75,128,99,91,73,192,18,568,45,162,80,152=,40
63,80,university of washington,US,United States,XL,FC,VH,A,84,58,50,168,19,692,94,62,19,600,33,392,94,59,70,74,88,106=,69
112,154,university of waterloo,CA,Canada,XL,CO,VH,A,41,208,67,117,7,701+,83,100,77,241,78,172,55,281,56,112,97,36=,58
167,162,university of york,UK,United Kingdom,L,FC,VH,A,44,194,35,275,45,351,40,342,88,192,78,171,79,150,20,421,98,26=,49
205,228,universität hamburg,DE,Germany,L,FC,VH,A,51,160,29,340,17,701+,60,205,42,395,22,512,87,101,27,305,53,292=,45
71,69,université paris-saclay,FR,France,XL,CO,VH,A,59,128,99,13,100,25,46,294,39,416,61,244,99,17,34,224,74,182=,68
24,26,université psl,FR,France,L,CO,VH,A,74,82,97,25,99,33,96,49,69,280,73,196,100,3,61,97,80,146=,86
105,128,uppsala university,SE,Sweden,L,FC,VH,A,63,111,31,320,48,330,46,296,98,108,82,152,96,47,58,105,99,12,59
261,199,vanderbilt university,US,United States,L,FC,VH,B,25,348,20,459,100,9,37,377,36,442,35,383,47,332,36,206,51,299=,38
207,214,vrije universiteit amsterdam,NL,Netherlands,XL,FC,VH,A,40,217,16,531,24,607,68,156,69,284,40,340,70,195,20,414,89,95=,45
259,251,vrije universiteit brussel (vub),BE,Belgium,L,FC,VH,A,23,373,17,512,76,160,22,527,94,158,59,252,88,94,31,244,67,215=,39
194,194,wuhan university,CN,China (Mainland),XL,FC,VH,A,41,204,44,205,13,701+,87,82,41,405,5,701+,48,324,35,218,44,336=,47
291,302,xi’an jiaotong university,CN,China (Mainland),XL,FC,VH,A,21,406,42,222,17,701+,81,106,4,701+,4,701+,37,403,21,397,35,403=,36
16,18,yale university,US,United States,M,FC,VH,B,100,9,100,7,100,3,46,293,90,184,79,169,86,112,100,9,99,13,88
353,456,york university,CA,Canada,XL,CO,VH,A,23,377,21,441,5,701+,29,440,51,356,81,157,28,471,53,119,81,144,31
